ID,HS_ENGLISH,HS_MATH,HS_HISTORY,HS_LAB_SCIENCES,HS_FOREIGN_LANGUAGE,HS_ART,HS_ELECTIVES,HS_GPA,sex,WRITINGScore,GraduateONTime,Major
176,8,8,9,6,4,4,6,3.865934428,1,480,0,FIN
177,8,8,6,8,4,4,0,3.16669461,0,445,0,ACCT
178,8,8,6,8,6,2,0,3.461545035,1,379,0,FIN
179,8,4,6,4,4,12,0,2.72188859,1,563,0,MKTG
180,8,9,6,5,6,2,2,2.384432697,1,549,1,ACCT
181,9,10,6,8,6,4,6,3.910393524,1,681,1,ACCT
182,10,6,5,6,6,3,4,3.987046584,0,383,0,MKTG
183,8,8,5,8,8,10,3,3.233745009,0,528,0,MGMT
184,8,10,5,4,6,16,6,3.792434021,0,672,0,MKTG
185,8,10,9,8,6,2,1,4.061111288,1,553,0,MKTG
186,9,10,6,6,6,6,4,3.743460856,0,512,0,FIN
187,14,10,8,8,4,2,2,3.920001322,1,481,0,I S
188,8,10,8,6,4,2,0,3.426764755,0,563,0,MGMT
189,8,10,6,6,6,2,3,3.429154172,0,542,1,MKTG
190,8,6,6,4,5,5,0,3.127664192,0,479,0,MGMT
191,8,10,6,6,6,14,0,3.473284259,1,576,0,ACCT
192,8,7,6,6,4,4,2,2.873879619,0,469,0,FIN
193,8,8,6,5,6,2,4,2.871631476,0,578,0,MKTG
194,8,9,7,6,8,2,0,3.260104162,1,464,0,FIN
195,8,10,6,7,6,4,2,3.12850117,1,462,1,MKTG
196,8,10,8,4,4,4,0,3.138655441,0,538,0,MKTG
197,8,8,7,6,4,2,3,2.387267297,0,483,0,ACCT
198,8,12,8,6,8,2,0,3.296599005,0,529,0,FIN
199,8,6,6,7,4,2,2,2.99689426,1,380,0,MGMT
200,8,10,6,6,6,2,2,3.386545908,0,590,0,FIN
201,8,8,6,6,10,2,0,3.389218894,0,315,1,MGMT
202,8,10,6,6,4,4,2,3.015901713,1,574,0,MKTG
203,8,6,6,4,6,2,2,2.86021862,1,363,1,MGMT
204,8,10,6,6,8,2,4,3.453330283,0,479,0,FIN
205,8,6,7,4,4,12,2,2.961255996,1,457,0,MGMT
206,8,10,7,6,8,2,1,3.971608277,1,597,1,FIN
207,8,8,6,6,4,4,0,2.355039093,1,376,0,MKTG
208,8,10,6,9,6,4,0,3.700400927,1,715,0,FIN
209,8,10,6,4,6,2,0,3.180416876,1,460,1,MGMT
210,8,10,6,8,8,4,0,3.359266375,0,590,0,FIN
211,8,6,6,8,8,2,3,3.373388872,1,505,0,FIN
212,8,6,6,7,8,7,1,3.348735896,0,536,0,FIN
213,8,10,8,8,6,4,0,3.877137767,0,431,0,MKTG
214,8,8,6,8,6,8,0,3.351469186,0,487,0,ACCT
215,8,8,6,6,8,4,2,3.392162407,0,418,0,MGMT
216,8,6,7,8,4,3,1,3.033244897,0,576,0,ACCT
217,8,10,6,6,8,2,0,4.052506589,0,434,0,FIN
218,8,10,6,6,6,16,7,4.461431321,1,586,1,MKTG
219,8,11,6,6,8,3,0,3.722003103,1,574,1,FIN
220,8,8,6,8,8,7,0,3.962854195,1,464,0,ACCT
221,8,10,8,6,7,2,2,3.962971592,0,669,1,ACCT
222,8,8,6,6,6,4,2,3.641068957,0,517,0,MGMT
223,8,8,6,4,6,6,0,3.218308576,0,569,1,MGMT
224,8,12,6,8,10,2,2,3.961094061,0,491,1,FIN
225,8,7,5,6,4,2,2,2.91254917,1,420,0,MGMT
226,8,6,4,4,4,4,8,4.216746691,1,389,0,MKTG
227,8,12,6,8,6,4,0,2.534594925,1,378,0,FIN
228,8,8,6,6,4,6,0,2.748489037,1,417,0,MKTG
229,8,10,6,8,8,2,0,3.630896985,1,448,0,ACCT
230,8,10,6,4,8,4,6,3.437784414,1,507,1,MKTG
231,8,9,6,10,8,4,2,3.845033254,0,548,0,ACCT
232,8,10,6,8,8,8,0,4.093853594,0,584,1,MGMT
233,8,8,6,7,6,16,4,3.790623828,1,472,1,ACCT
234,8,8,6,8,8,2,0,3.212946623,1,453,0,MKTG
235,10,8,7,4,4,2,2,3.235480743,1,458,0,MKTG
236,8,8,6,6,4,2,2,3.060792694,0,509,0,FIN
237,8,6,6,5,4,10,5,3.18481478,0,532,0,ACCT
238,8,10,6,8,8,2,0,3.753763858,1,384,1,MGMT
239,10,14,6,8,8,6,2,2.743199685,0,403,0,ACCT
240,8,8,8,8,4,2,2,3.987065779,0,459,1,MKTG
241,8,6,6,6,8,4,0,2.463757233,0,543,0,ACCT
242,8,8,6,6,8,2,2,3.31451069,0,498,0,MGMT
243,8,8,6,8,6,2,4,3.676287675,0,483,0,I S
244,8,8,6,2,8,13,2,2.819235848,1,618,0,MGMT
245,8,10,8,10,8,2,0,3.708269672,1,338,0,ACCT
246,8,10,6,8,6,6,4,3.440766042,0,462,1,FIN
247,8,8,6,8,6,2,2,3.854389625,0,606,0,MKTG
248,8,8,6,6,6,2,0,3.134287201,0,453,0,ACCT
249,8,10,6,6,4,2,0,3.583218681,1,513,0,MKTG
250,8,8,6,6,8,6,0,3.103609754,1,450,0,FIN
251,8,9,6,4,8,2,2,3.091358283,1,535,1,MGMT
252,8,8,4,9,6,2,2,3.203822125,0,335,0,MKTG
253,8,10,6,6,6,2,0,4.216363709,0,553,0,FIN
254,8,8,6,6,8,2,1,2.960495898,1,548,0,ACCT
255,8,10,6,6,6,9,1,3.733765803,0,515,0,ACCT
256,8,10,6,8,7,6,0,3.293813244,1,632,1,MGMT
257,8,6,6,8,6,2,0,3.007566076,0,417,1,ACCT
258,8,8,6,4,10,2,2,3.816874206,1,503,0,I S
259,8,10,6,8,8,8,0,3.144068965,0,468,0,ACCT
260,8,6,5,6,4,5,3,3.741515862,0,543,0,MGMT
261,8,8,6,8,6,6,2,2.925444393,0,464,0,FIN
262,8,6,6,8,8,8,4,3.585326599,0,531,0,MGMT
263,8,8,8,8,4,3,0,2.626680659,0,490,0,FIN
264,8,8,6,6,6,3,0,2.960670664,0,620,1,ACCT
265,8,8,5,4,6,2,4,3.028050394,1,515,0,MGMT
266,8,8,6,6,8,2,4,3.994098365,0,463,0,ACCT
267,8,8,6,6,7,3,3,2.991802078,0,354,0,I S
268,8,8,6,4,8,8,3,4.08091965,0,554,1,MGMT
269,10,10,6,6,6,3,0,2.906516679,0,571,0,FIN
270,8,8,6,6,6,6,1,3.931030505,0,370,0,FIN
271,8,6,6,8,6,4,0,3.456942273,1,372,0,MGMT
272,8,10,6,8,6,2,2,3.58821864,1,401,0,FIN
273,8,8,6,5,4,3,3,2.915800975,0,322,0,ACCT
274,8,10,6,8,8,12,0,3.710442405,0,610,1,MGMT
275,8,6,5,8,4,4,0,2.819032923,0,689,0,MKTG
276,8,6,6,4,6,12,0,4.078849869,0,766,1,ACCT
277,8,8,8,6,6,4,0,4.150368328,0,539,0,MGMT
278,8,10,6,6,8,10,2,3.039680451,1,572,0,FIN
279,8,10,6,8,4,2,0,3.246564341,1,604,1,FIN
280,8,8,6,6,4,2,2,4.172946615,0,518,0,ACCT
281,8,9,5,7,6,3,1,3.070243093,1,495,0,ACCT
282,8,8,6,8,8,2,2,3.085114931,1,513,0,MKTG
283,8,6,6,6,4,11,0,3.049990308,1,546,1,FIN
284,8,10,6,6,6,4,2,3.71521264,0,541,0,MKTG
285,8,8,6,4,8,4,1,3.24457039,1,454,0,MGMT
286,8,10,6,8,6,2,0,3.811337456,1,536,0,FIN
287,8,10,6,8,8,2,2,3.652295829,0,534,1,FIN
288,8,10,9,8,6,6,0,3.233739954,1,532,0,MKTG
289,8,10,6,6,6,3,3,3.354346848,1,490,0,FIN
290,8,6,6,4,10,2,0,4.483668956,0,492,1,I S
291,8,8,6,8,6,8,0,2.674620209,0,604,0,MGMT
292,8,10,8,6,8,2,0,3.923808493,0,639,1,FIN
293,8,6,6,4,6,5,1,3.515954259,0,531,0,MKTG
294,8,8,6,6,4,5,0,3.609645631,1,442,0,MGMT
295,8,10,6,5,10,2,2,3.088650998,1,485,1,MKTG
296,8,6,6,8,6,4,0,3.89923622,0,517,0,MGMT
297,8,8,6,4,6,4,6,3.664221221,0,477,0,FIN
298,8,10,5,6,10,6,3,4.121391327,0,519,0,MGMT
299,8,8,8,6,8,2,0,3.852622258,1,460,0,FIN
300,8,6,6,8,4,2,1,4.484536139,0,535,1,ACCT
301,8,10,6,6,8,7,0,3.468501276,0,534,0,MGMT
302,8,6,6,6,6,2,0,3.19605428,1,344,0,FIN
303,10,10,7,4,8,4,2,3.567994373,1,488,1,MKTG
304,9,8,5,4,8,2,1,3.368540997,0,388,0,MGMT
305,8,8,6,8,6,2,0,3.252937256,1,454,0,MKTG
306,8,8,6,6,6,2,2,2.443408673,1,627,0,MKTG
307,8,6,6,4,4,4,4,3.362018162,1,429,0,MKTG
308,8,8,6,8,6,2,0,3.386234438,1,496,0,MGMT
309,8,12,8,8,6,2,0,2.784488147,0,577,1,MGMT
310,8,10,6,10,6,4,0,3.457574328,0,534,0,FIN
311,8,12,6,8,4,2,0,3.774636741,0,416,0,FIN
312,8,10,6,10,6,2,0,3.786175812,0,535,0,ACCT
313,8,8,7,6,4,2,2,4.179044195,1,413,0,MGMT
314,8,10,8,8,8,4,2,4.10157633,0,490,0,MKTG
315,8,10,6,8,6,2,0,2.972197648,0,497,0,FIN
316,8,7,5,6,6,4,1,3.184767594,1,505,1,MKTG
317,8,8,6,7,8,2,0,3.196701183,1,340,0,MGMT
318,8,8,6,8,6,2,0,3.52169659,0,497,0,MKTG
319,8,10,6,6,4,5,0,3.283847398,0,450,0,FIN
320,8,8,6,10,6,8,2,3.693066072,0,553,0,MKTG
321,8,6,6,8,6,4,0,2.616211584,1,447,1,MGMT
322,8,10,6,6,8,2,1,4.476482188,0,637,1,ACCT
323,8,8,7,6,6,2,2,2.772902325,1,470,0,MGMT
324,8,8,6,8,8,2,0,3.132774095,1,626,0,I S
